,precision,recall,f1-score,support
akiec,0.639344262295082,0.75,0.6902654867256637,52.0
bcc,0.7681159420289855,0.7464788732394366,0.7571428571428571,71.0
bkl,0.6797385620915033,0.6227544910179641,0.65,167.0
df,0.6666666666666666,0.6,0.631578947368421,20.0
mel,0.5538461538461539,0.4311377245508982,0.48484848484848486,167.0
nv,0.8869895536562203,0.9302788844621513,0.9081186193485659,1004.0
vasc,0.7777777777777778,0.6666666666666666,0.717948717948718,21.0
accuracy,0.8175765645805593,0.8175765645805593,0.8175765645805593,0.8175765645805593
macro avg,0.7103541311946271,0.6781880914195881,0.6914147304832444,1502.0
weighted avg,0.8082523033438768,0.8175765645805593,0.8113383761563422,1502.0
