,precision,recall,f1-score,support
akiec,0.7450980392156863,0.7307692307692307,0.7378640776699029,52.0
bcc,0.8253968253968254,0.7323943661971831,0.7761194029850746,71.0
bkl,0.6866666666666666,0.6167664670658682,0.6498422712933754,167.0
df,0.6666666666666666,0.6,0.631578947368421,20.0
mel,0.6119402985074627,0.49101796407185627,0.5448504983388704,167.0
nv,0.8867041198501873,0.9432270916334662,0.9140926640926641,1004.0
vasc,0.8333333333333334,0.7142857142857143,0.7692307692307693,21.0
accuracy,0.8315579227696405,0.8315579227696405,0.8315579227696405,0.8315579227696405
macro avg,0.7508294213766897,0.6897801191461885,0.7176540901398683,1502.0
weighted avg,0.8224366880754935,0.8315579227696405,0.8252473781821635,1502.0
